DiseaseId,Disease_name
EFO_0000765,Aids
EFO_0003818,Lung Disease
EFO_0004212,Keloid
EFO_0008520,Primary Progressive Multiple Sclerosis
EFO_0000239,Adrenal Gland Pheochromocytoma
EFO_1001216,Tooth Disease
EFO_1001050,Multiple System Atrophy
EFO_1001139,Pulpitis
DOID_13406,Pulmonary Sarcoidosis
HP_0012167,Hair-Pulling
EFO_0004193,Basal Cell Carcinoma
EFO_0000649,Periodontitis
EFO_1000157,Central Nervous System Lymphoma
MONDO_0026045,Prurigo Nodularis
EFO_0003943,Humerus Fracture
EFO_0004566,Body Weight Gain
HP_0030834,Shoulder Pain
HP_0001399,Hepatic Failure
MONDO_0002406,Dermatitis
EFO_0003868,Mouth Neoplasm
EFO_0000266,Aortic Stenosis
EFO_0004997,Type 2 Diabetes Nephropathy
EFO_0002496,Actinic Keratosis
EFO_0009855,Frontal Fibrosing Alopecia
EFO_1000985,Intermediate Coronary Syndrome
MONDO_0018975,Neurofibromatosis Type 1
EFO_0000556,Ischemia
EFO_0003103,Urinary Tract Infection
EFO_1001496,Autosomal Dominant Polycystic Kidney Disease
HP_0003040,Arthropathy
EFO_1000782,Altitude Sickness
EFO_1001892,Generalized Anxiety Disorder
EFO_0003911,Atrial Flutter
EFO_0004710,Pelvic Organ Prolapse
EFO_0007490,Spinal Stenosis
MONDO_0015760,T-Cell Non-Hodgkin Lymphoma
EFO_0005950,Head And Neck Neoplasia
HP_0001943,Hypoglycemia
EFO_0004273,Scoliosis
HP_0004308,Ventricular Arrhythmia
Orphanet_145,Hereditary Breast And Ovarian Cancer Syndrome
EFO_0009314,Blood Coagulation Disease
HP_0004326,Cachexia
EFO_1001757,Adenomyosis
EFO_0004280,Movement Disorder
EFO_0004197,Hepatitis B Virus Infection
MONDO_0044704,Oropharynx Squamous Cell Carcinoma
EFO_0001064,Down Syndrome
Orphanet_365,Glycogen Storage Disease Due To Acid Maltase Deficiency
HP_0012378,Fatigue
EFO_1001158,Retinopathy Of Prematurity
EFO_0009444,Hypoxia
EFO_0009430,Neuralgia
EFO_0000284,Benign Prostatic Hyperplasia
EFO_1000956,Hairy Cell Leukemia
EFO_0007143,Alveolar Soft Part Sarcoma
EFO_0009688,Stomatitis
EFO_0006890,Fibrosis
EFO_0004259,Osteonecrosis
EFO_0004211,Hypertriglyceridemia
EFO_0801084,Cancer Pain
MONDO_0005129,Cataract
MONDO_0015540,Hemophagocytic Syndrome
EFO_1001176,Sensorineural Hearing Loss
HP_0005184,Prolonged Qtc Interval
EFO_0002460,Hypertrophy
EFO_1000760,Rosacea
EFO_1001331,"Genital Neoplasm, Female"
MONDO_0044970,Mitochondrial Disease
HP_0001410,Decreased Liver Function
EFO_1000726,Lichen Planus
EFO_1001366,Mastodynia
EFO_0008493,Cerebral Small Vessel Disease
MONDO_0002462,Glomerulonephritis
EFO_1001209,Temporal Arteritis
EFO_0007541,Viral Pneumonia
EFO_1001121,Prediabetes Syndrome
HP_0000545,Myopia
EFO_0009552,Hemorrhoid
HP_0002104,Apnea
EFO_0002970,Muscular Disease
EFO_0005044,Leishmaniasis
EFO_1001513,Liver Neoplasm
EFO_0002890,Renal Carcinoma
